"date","Temperature","Humidity","Light","CO2","HumidityRatio","Occupancy"
"1","2015-02-04 17:51:00",23.18,27.272,426,721.25,0.00479298817650529,1
"2","2015-02-04 17:51:59",23.15,27.2675,429.5,714,0.00478344094931065,1
"3","2015-02-04 17:53:00",23.15,27.245,426,713.5,0.00477946352442199,1
"4","2015-02-04 17:54:00",23.15,27.2,426,708.25,0.00477150882608175,1
"5","2015-02-04 17:55:00",23.1,27.2,426,704.5,0.00475699293331518,1
"6","2015-02-04 17:55:59",23.1,27.2,419,701,0.00475699293331518,1
"836","2015-02-05 07:46:00",20.79,22.79,411,492,0.00345448814144093,1
"837","2015-02-05 07:46:59",20.815,22.8675,411,497.75,0.00347166969308452,1
"838","2015-02-05 07:47:59",20.8233333333333,23.0333333333333,408.333333333333,499,0.00349879184810959,1
"839","2015-02-05 07:49:00",20.815,23.025,400,507,0.00349571521582248,1
"840","2015-02-05 07:50:00",20.89,23.175,396,514.75,0.00353498716046155,1
"841","2015-02-05 07:51:00",20.89,23.29,396,515,0.00355262881880505,1
"842","2015-02-05 07:52:00",20.89,23.29,396,520.75,0.00355262881880505,1
"843","2015-02-05 07:53:00",20.89,23.29,396,526,0.00355262881880505,1
"844","2015-02-05 07:53:59",20.89,23.3233333333333,398.333333333333,527,0.00355774252897956,1
"845","2015-02-05 07:54:59",20.945,23.39,399.5,531.25,0.00358013032667571,1
"846","2015-02-05 07:56:00",20.9633333333333,23.4633333333333,413,536,0.00359549407943774,1
"847","2015-02-05 07:57:00",21,23.5,411,542.75,0.00360931921720166,1
"848","2015-02-05 07:58:00",21,23.5,411,541,0.00360931921720166,1
"896","2015-02-05 08:45:59",21.3233333333333,24.29,444,752,0.00380664748676956,1
"897","2015-02-05 08:47:00",21.39,24.29,444,753.75,0.00382233153775034,1
"898","2015-02-05 08:48:00",21.365,24.2225,441.75,746.25,0.00380577286974984,1
"899","2015-02-05 08:49:00",21.39,24.26,446,754.666666666667,0.00381758169240746,1
"900","2015-02-05 08:50:00",21.39,24.26,439,755.333333333333,0.00381758169240746,1
"901","2015-02-05 08:51:00",21.39,24.29,446.5,758.25,0.00382233153775034,1
"902","2015-02-05 08:51:59",21.39,24.29,446,766.6,0.00382233153775034,1
"1082","2015-02-05 11:51:59",22.2,27,444,1127.5,0.00446893986995333,1
"1083","2015-02-05 11:53:00",22.2,27.025,444,1114.5,0.00447310753496422,1
"1084","2015-02-05 11:54:00",22.2,27.1,460,1121.25,0.00448561086271465,1
"1085","2015-02-05 11:55:00",22.2,27.1,460,1124,0.00448561086271465,1
"1086","2015-02-05 11:55:59",22.175,27.175,454.75,1127.25,0.00449122102125288,1
"1087","2015-02-05 11:57:00",22.175,27.125,460,1136,0.0044828979480412,1
"1088","2015-02-05 11:57:59",22.175,27.125,458.5,1127.75,0.0044828979480412,1
"1089","2015-02-05 11:58:59",22.2,27.1,461.5,1122.5,0.00448561086271465,1
"2467","2015-02-06 10:57:00",21.754,20.896,485.25,853.25,0.00335983033431899,1
"2468","2015-02-06 10:58:00",21.73,20.7,482.75,849.75,0.00332324287422974,1
"2469","2015-02-06 10:59:00",21.79,20.945,464,844.5,0.00337520823685561,1
"2470","2015-02-06 10:59:59",21.7225,20.87,479,846.75,0.00334913821487917,1
"2471","2015-02-06 11:00:59",21.745,20.7225,476.75,852.5,0.0033299422525362,1
"2472","2015-02-06 11:02:00",21.7,20.79,476,851,0.00333162090456645,1
"6707","2015-02-09 09:36:59",20.39,30.795,433,898,0.00456221924597057,1
"6708","2015-02-09 09:38:00",20.39,30.77,433,902.5,0.0045584884011471,1
"6709","2015-02-09 09:39:00",20.39,30.8925,433,909.25,0.00457676996532691,1
"6710","2015-02-09 09:40:00",20.445,30.795,433,922,0.00457785295762528,1
"6711","2015-02-09 09:40:59",20.4725,30.9175,433,921.5,0.00460406405837682,1
"6712","2015-02-09 09:42:00",20.5,31.1225,433,929.25,0.00464275012157711,1
"8094","2015-02-10 08:44:00",20.39,33.5,419,490.333333333333,0.0049661593089812,1
"8095","2015-02-10 08:44:59",20.39,33.5,409.666666666667,489.666666666667,0.0049661593089812,1
"8096","2015-02-10 08:45:59",20.4175,33.5225,405,487.25,0.00497803526961612,1
"8117","2015-02-10 09:07:00",20.73,34.4666666666667,419,563.333333333333,0.00521985047405851,1
"24","2015-02-04 18:14:00",22.89,27.5,0,688,0.00474864516581148,0
"25","2015-02-04 18:15:00",22.89,27.5,0,689.5,0.00474864516581148,0
"26","2015-02-04 18:16:00",22.79,27.445,0,689,0.00471022404680625,0
"473","2015-02-05 01:43:00",21.2,25.05,0,439.5,0.00389672345287398,0
"474","2015-02-05 01:44:00",21.2,25,0,443,0.00388889693246281,0
"475","2015-02-05 01:45:00",21.2,25,0,443,0.00388889693246281,0
"546","2015-02-05 02:55:59",21,24.89,0,432,0.00382411915135911,0
"547","2015-02-05 02:57:00",21,24.89,0,435.5,0.00382411915135911,0
"548","2015-02-05 02:57:59",21,24.89,0,444,0.00382411915135911,0
"549","2015-02-05 02:58:59",21,24.84,0,444.5,0.00381638997758567,0
"550","2015-02-05 03:00:00",21,24.89,0,446,0.00382411915135911,0
"1460","2015-02-05 18:10:00",21.89,23.84,0,817,0.00386830846395102,0
"1461","2015-02-05 18:10:59",21.84,23.745,0,813.666666666667,0.0038409808590766,0
"1462","2015-02-05 18:11:59",21.84,23.745,0,805,0.0038409808590766,0
"1463","2015-02-05 18:13:00",21.79,23.7,0,807,0.00382189406984404,0
"1944","2015-02-06 02:13:59",20.6,19.445,0,434,0.0029106197664319,0
"1945","2015-02-06 02:15:00",20.5,19.55,0,434,0.00290833139492368,0
"1946","2015-02-06 02:16:00",20.5,19.6,0,435,0.00291580445128535,0
"1947","2015-02-06 02:17:00",20.6,19.6,0,438,0.00293393033923272,0
"2632","2015-02-06 13:41:59",21.5,19.39,573,652.666666666667,0.00306818421159682,0
"2633","2015-02-06 13:43:00",21.55,19.34,560.75,663.75,0.00306966160411553,0
"2634","2015-02-06 13:44:00",21.6,19.3566666666667,524,652,0.0030817818824015,0
"2635","2015-02-06 13:45:00",21.6,19.29,537,653,0.00307111545177247,0
"2636","2015-02-06 13:46:00",21.625,19.2225,548.75,649.5,0.0030650234197501,0
"4336","2015-02-07 18:06:00",20.39,22.1,0,442.5,0.00326730542580999,0
"4337","2015-02-07 18:07:00",20.39,22.1,0,444.5,0.00326730542580999,0
"4338","2015-02-07 18:08:00",20.39,22.1,0,440,0.00326730542580999,0
"4339","2015-02-07 18:08:59",20.39,22.2,0,433,0.0032821676264105,0
"4340","2015-02-07 18:10:00",20.39,22.2,0,436,0.0032821676264105,0
"4880","2015-02-08 03:10:00",19.39,31.1,0,436.666666666667,0.00432881995587652,0
"4881","2015-02-08 03:10:59",19.34,31.1,0,436.5,0.00431527430832022,0
"4882","2015-02-08 03:11:59",19.39,31.1,0,436,0.00432881995587652,0
"4883","2015-02-08 03:13:00",19.39,31.15,0,436.5,0.00433582798678829,0
"4884","2015-02-08 03:14:00",19.29,31.2,0,435.5,0.0043156941375931,0
"4885","2015-02-08 03:15:00",19.39,31.2,0,437,0.00434283617452838,0
"4886","2015-02-08 03:16:00",19.34,31.2,0,437.5,0.00432924636457163,0
"5568","2015-02-08 14:38:00",20.39,26.2,108,428.25,0.00387723555626482,0
"5569","2015-02-08 14:38:59",20.445,26.245,57,429,0.00389723144333791,0
"5570","2015-02-08 14:39:59",20.39,26.2,68,425.75,0.00387723555626482,0
"5571","2015-02-08 14:41:00",20.39,26.2,73.25,421.5,0.00387723555626482,0
"6556","2015-02-09 07:06:00",19.29,26.1,0,466,0.00360615416412876,0
"6557","2015-02-09 07:07:00",19.29,26.1,0,467.5,0.00360615416412876,0
"6558","2015-02-09 07:08:00",19.29,26.1,0,467,0.00360615416412876,0
"7548","2015-02-09 23:38:00",20.39,32.9,0,515,0.00487651582926721,0
"7549","2015-02-09 23:38:59",20.39,32.95,0,514.5,0.00488398514013971,0
"7550","2015-02-09 23:39:59",20.39,32.95,0,511,0.00488398514013971,0
"8084","2015-02-10 08:34:00",20.29,33.2,0,451,0.00489078485912552,0
"8085","2015-02-10 08:35:00",20.29,33.2,0,455,0.00489078485912552,0
"8086","2015-02-10 08:36:00",20.29,33.2,0,458,0.00489078485912552,0
"8090","2015-02-10 08:39:59",20.315,33.345,426,474.25,0.00491996934321247,0
